"PlantID_final","Easting","Northing","Altitude"
"M0821",1293.44889568002,-556.42604001984,1156.59
"M0843",1409.91994148999,-652.573144149967,1172.86
"M1003",-1691.26054350199,-61.0910391798243,1215.93
"M1011",-1639.62365606101,-54.1171686202288,1213.93
"M1014",-1964.20142776502,-151.665348339826,1231.58
"M1530",797.605796154996,-69.856439139694,1282.57
"M0158",-1637.32940813497,-52.866655359976,1214.15
"M0170",-1611.108444963,-51.0009266398847,1216.12
"M0172",-1359.55418426602,-191.324286259711,1192.73
"M0174",-1543.05274631002,-86.1943133100867,1208.31
"M0178",-1336.17956143402,-203.428366979584,1194.44
"M0183",-1594.014246476,-55.8446162100881,1211.34
"M0187",-1336.95992939197,-206.051631440409,1193.3
"M0190",-1645.955149955,-57.1807563398033,1212.03
"M0195",-1632.928791988,-62.947761470452,1211.65
"M0294",-2259.10595872102,-160.759048939683,1301.61
"M0301",842.606604056025,-484.232940929942,1147.61
"M0303",860.994091655011,-518.843448489904,1148.56
"M0305",733.260537234019,-385.087815820239,1137.97
"M0307",711.174599141988,-387.453230869956,1140.43
"M0308",707.081850033021,-393.120464679785,1139.87
"M0311",868.045143614989,-524.531580880284,1150.34
"M0313",975.130254198972,-528.171248720028,1150.62
"M0315",959.094299883989,-520.265847570263,1150.22
"M0316",954.359326274018,-520.766987980343,1150.68
"M0324",775.476181050995,-436.642193829641,1138.08
"M0326",877.261639340024,-528.909249699675,1149.36
"M0349",784.94000505202,-441.185889770277,1139.38
"M0353",-2200.18727556901,-281.462158420123,1245.24
"M0355",-1776.103355125,-141.726139769889,1224.62
"M0356",-1958.96793790697,-164.58106863033,1228.41
"M0357",-1860.56409260101,-129.505301900208,1229.19
"M0359",-1925.33641468699,-137.871573950164,1231.74
"M0362",-1850.84284237598,-131.884437549859,1228.8
"M0366",-1955.32616708399,-163.536675729789,1228.07
"M0368",-1941.87747559597,-156.811348520219,1228.3
"M0370",-1951.579169898,-161.974847749807,1226.94
"M0374",-1949.99531004101,-160.382259840146,1227.4
"M0375",-2108.58115263999,-224.957733489573,1239.66
"M0377",-2032.51843827002,-191.829302930273,1233.92
"M0378",-1850.72639553598,-130.809654990211,1228.57
"M0380",-1914.944575225,-136.736858270131,1229.48
"M0386",-1851.95865596598,-132.829278170131,1231.79
"M0389",-2181.03565107298,-265.179591399617,1242.37
"M0396",-2026.46143457899,-188.178872019984,1233.93
"M0397",-2037.43282155902,-192.976067990065,1234.92
"M0398",-2024.59306409198,-189.25246181991,1233.01
"L1295",-2028.55076483003,-189.864641999826,1234.33
"M0438",1232.99160266801,-556.009153249674,1161.52
"M0450",1222.81891581701,-561.635040320456,1159.55
"M0454",1126.35631077702,-599.297625930049,1156
"M0490",1089.71333289403,-591.196462159976,1154.54
"M0501",1140.55243813799,-596.862047730014,1156.09
"M0506",-2136.00158147601,316.605207899585,1486.01
"M0507",1570.09448284801,-275.040565820411,1242.62
"M0519",-2266.39695294702,-340.655950199813,1251.16
"M0522",-2261.68326734001,-364.344649249688,1252.98
"M0524",-2262.69912139,-362.967368169688,1254.12
"M0531",1638.24900269101,-634.673262150027,1219.67
"M0533",1636.17199280497,-631.783908270299,1221.17
"M0538",1177.566620406,-305.671670960262,1257.65
"M0542",1597.04736687499,-591.12280439958,1221.08
"M0543",1570.87003957399,-278.135978399776,1238.49
"M0549",1246.25734781497,-557.479015540332,1162.96
"M0550",-2225.56346274802,-286.486764449626,1250.55
"M0551",1346.83070388198,-235.017702340148,1253.96
"M0553",1366.13064467098,-244.730493850075,1250.72
"M0554",1148.34862053499,-293.08493020013,1262.03
"M0558",1355.09443298302,-239.075865910389,1252.49
"M0559",1302.189205551,-269.451819449663,1253.76
"M0560",1306.49322233401,-254.037501149811,1254.71
"M0561",1534.77739096998,-279.946316690184,1242.07
"M0562",1138.078099893,-287.956748929806,1263.79
