iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1972.666	-7.455	-1965.211	0.1	0.97	71.644	2.062
10	0.009	-1878.729	-7.082	-1871.648	0.1	0.857	76.97	2.096
20	0.016	-1854.628	-6.722	-1847.906	0.1	0.832	82.626	1.858
30	0.023	-1846.119	-6.665	-1839.453	0.1	0.86	84.354	1.762
40	0.031	-1840.493	-6.706	-1833.787	0.1	0.843	83.932	1.646
50	0.038	-1826.91	-6.916	-1819.994	0.1	0.852	80.863	1.527
60	0.045	-1810.885	-6.957	-1803.928	0.1	0.874	86.051	1.344
70	0.052	-1806.057	-7.094	-1798.963	0.1	0.902	88.366	1.241
80	0.059	-1798.882	-6.953	-1791.929	0.1	0.921	94.906	1.213
90	0.067	-1798.882	-6.953	-1791.929	0.1	0.921	94.906	1.213
100	0.074	-1798.882	-6.953	-1791.929	0.1	0.921	94.906	1.213
110	0.081	-1796.898	-7.1	-1789.798	0.1	0.946	96.261	1.153
120	0.089	-1794.948	-7.182	-1787.766	0.1	0.966	95.394	1.15
130	0.096	-1794.948	-7.182	-1787.766	0.1	0.966	95.394	1.15
140	0.103	-1794.948	-7.182	-1787.766	0.1	0.966	95.394	1.15
150	0.111	-1794.948	-7.182	-1787.766	0.1	0.966	95.394	1.15
160	0.118	-1797.609	-7.408	-1790.201	0.1	0.963	93.109	1.097
170	0.125	-1793.386	-7.892	-1785.494	0.1	0.975	86.934	1.032
180	0.133	-1791.334	-7.952	-1783.382	0.1	0.969	85.508	1.025
190	0.14	-1788.775	-8.013	-1780.762	0.1	0.959	83.156	1.026
200	0.147	-1791.035	-8.273	-1782.762	0.1	0.974	81.105	0.992
210	0.155	-1790.023	-7.933	-1782.09	0.1	0.964	83.653	1.046
220	0.162	-1790.023	-7.933	-1782.09	0.1	0.964	83.653	1.046
230	0.17	-1790.023	-7.933	-1782.09	0.1	0.964	83.653	1.046
240	0.177	-1789.788	-7.836	-1781.953	0.1	0.96	84.854	1.057
250	0.184	-1789.788	-7.836	-1781.953	0.1	0.96	84.854	1.057
260	0.192	-1789.788	-7.836	-1781.953	0.1	0.96	84.854	1.057
270	0.199	-1789.788	-7.836	-1781.953	0.1	0.96	84.854	1.057
280	0.206	-1789.788	-7.836	-1781.953	0.1	0.96	84.854	1.057
290	0.214	-1789.788	-7.836	-1781.953	0.1	0.96	84.854	1.057
300	0.221	-1788.909	-7.867	-1781.042	0.1	0.955	85.209	1.041
310	0.228	-1788.909	-7.867	-1781.042	0.1	0.955	85.209	1.041
320	0.236	-1788.909	-7.867	-1781.042	0.1	0.955	85.209	1.041
330	0.243	-1794.043	-7.669	-1786.373	0.1	0.935	87.157	1.066
340	0.251	-1794.265	-7.725	-1786.539	0.1	0.928	83.777	1.085
350	0.258	-1787.319	-8.024	-1779.295	0.1	0.949	82.264	1.027
360	0.265	-1787.319	-8.024	-1779.295	0.1	0.949	82.264	1.027
370	0.273	-1787.319	-8.024	-1779.295	0.1	0.949	82.264	1.027
380	0.28	-1787.319	-8.024	-1779.295	0.1	0.949	82.264	1.027
390	0.288	-1787.319	-8.024	-1779.295	0.1	0.949	82.264	1.027
400	0.295	-1787.319	-8.024	-1779.295	0.1	0.949	82.264	1.027
410	0.302	-1787.319	-8.024	-1779.295	0.1	0.949	82.264	1.027
420	0.31	-1787.753	-8.033	-1779.72	0.1	0.952	82.542	1.023
430	0.317	-1787.753	-8.033	-1779.72	0.1	0.952	82.542	1.023
440	0.325	-1787.209	-8.135	-1779.074	0.1	0.952	81.121	1.012
450	0.332	-1787.209	-8.135	-1779.074	0.1	0.952	81.121	1.012
460	0.339	-1787.209	-8.135	-1779.074	0.1	0.952	81.121	1.012
470	0.347	-1786.28	-8.2	-1778.08	0.1	0.947	79.762	1.007
480	0.354	-1786.28	-8.2	-1778.08	0.1	0.947	79.762	1.007
490	0.362	-1786.28	-8.2	-1778.08	0.1	0.947	79.762	1.007
500	0.369	-1786.28	-8.2	-1778.08	0.1	0.947	79.762	1.007
510	0.376	-1786.28	-8.2	-1778.08	0.1	0.947	79.762	1.007
