iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3355.485	-4.674	-3350.811	0.135	0.822	324.762	1.875
10		0.011	-3354.355	-4.662	-3349.693	0.115	0.82	321.006	1.893
20		0.021	-3352.757	-4.664	-3348.094	0.131	0.86	320.1	1.844
30		0.031	-3353.286	-4.816	-3348.471	0.163	0.91	321.557	1.677
40		0.041	-3350.32	-4.647	-3345.673	0.108	0.84	313.13	1.868
50		0.051	-3349.556	-4.66	-3344.896	0.145	0.865	313.275	1.767
60		0.061	-3350.036	-4.686	-3345.35	0.1	0.864	313.182	1.764
70		0.071	-3346.504	-5.037	-3341.467	0.063	0.881	302.945	1.675
80		0.081	-3344.943	-4.625	-3340.318	0.124	0.843	302.986	1.628
90		0.092	-3346.052	-4.854	-3341.198	0.196	0.827	300.387	1.868
100		0.102	-3344.578	-4.796	-3339.782	0.075	0.823	296.565	1.8
110		0.112	-3345.8	-4.625	-3341.175	0.094	0.798	296.577	1.805
120		0.122	-3344.947	-4.582	-3340.365	0.112	0.818	299.139	1.706
130		0.132	-3340.651	-4.962	-3335.689	0.083	0.84	291.906	1.404
140		0.142	-3338.127	-5.132	-3332.995	0.108	0.854	282.957	1.229
150		0.152	-3338.808	-5.215	-3333.593	0.151	0.848	283.981	1.203
160		0.162	-3334.981	-6.146	-3328.835	0.282	0.883	278.06	1.28
170		0.172	-3334.739	-5.315	-3329.424	0.194	0.914	273.885	1.271
180		0.182	-3332.008	-5.657	-3326.352	0.233	0.884	270.29	1.249
190		0.192	-3330.857	-5.646	-3325.211	0.252	0.829	265.62	1.331
200		0.202	-3329.655	-5.493	-3324.161	0.229	0.828	261.557	1.289
210		0.212	-3330.13	-5.57	-3324.561	0.232	0.807	257.845	1.259
220		0.222	-3329.685	-5.825	-3323.86	0.235	0.831	256.896	1.168
230		0.232	-3329.089	-5.478	-3323.61	0.212	0.817	256.08	1.222
240		0.242	-3328.933	-5.209	-3323.724	0.203	0.886	248.517	1.338
250		0.252	-3327.72	-5.654	-3322.066	0.198	0.867	254.427	1.125
260		0.262	-3327.309	-5.892	-3321.417	0.229	0.875	254.752	1.134
270		0.272	-3327.36	-5.521	-3321.839	0.208	0.856	256.949	1.198
280		0.282	-3328.047	-5.609	-3322.438	0.206	0.877	257.283	1.163
290		0.292	-3326.387	-6.445	-3319.942	0.281	0.86	250.074	1.135
300		0.302	-3328.971	-7.137	-3321.834	0.317	0.909	252.493	1.08
310		0.312	-3327.765	-6.839	-3320.927	0.312	0.865	253.52	1.14
320		0.322	-3329.246	-6.742	-3322.504	0.308	0.893	258.846	1.167
330		0.332	-3329.912	-5.681	-3324.231	0.24	0.863	255.828	1.255
340		0.342	-3329.596	-6.054	-3323.542	0.293	0.873	253.484	1.395
350		0.352	-3329.164	-6.386	-3322.779	0.282	0.818	251.534	1.154
360		0.363	-3328.19	-7.384	-3320.806	0.35	0.815	246.047	1.14
370		0.373	-3327.111	-8.225	-3318.886	0.388	0.884	247.332	1.085
380		0.383	-3328.902	-8.02	-3320.882	0.394	0.826	250.498	1.18
390		0.393	-3330.13	-8.342	-3321.788	0.411	0.801	247.685	1.174
400		0.403	-3328.684	-7.701	-3320.983	0.396	0.854	245.538	1.358
410		0.413	-3324.264	-6.807	-3317.457	0.348	0.841	238.001	1.406
420		0.423	-3325.564	-5.59	-3319.975	0.272	0.847	238.045	1.567
430		0.433	-3316.996	-5.275	-3311.721	0.252	0.811	235.679	1.788
440		0.443	-3311.993	-4.832	-3307.161	0.204	0.779	224.298	1.777
450		0.453	-3311.362	-4.563	-3306.798	0.16	0.769	222.135	1.787
460		0.463	-3309.523	-4.623	-3304.9	0.09	0.758	212.906	1.731
470		0.473	-3308.465	-4.657	-3303.808	0.089	0.811	209.919	1.749
480		0.484	-3306.813	-4.646	-3302.167	0.143	0.821	211.43	1.564
490		0.494	-3304.149	-4.816	-3299.332	0.189	0.767	203.781	1.661
500		0.504	-3304.652	-5.808	-3298.844	0.29	0.763	200.039	1.764
510		0.514	-3306.157	-5.526	-3300.632	0.263	0.717	199.827	1.607
520		0.524	-3303.696	-5.226	-3298.471	0.236	0.728	194.07	1.708
530		0.534	-3302.677	-4.613	-3298.064	0.115	0.76	195.709	1.696
540		0.544	-3298.979	-5.038	-3293.941	0.192	0.794	191.436	1.486
550		0.554	-3297.233	-4.986	-3292.247	0.185	0.773	182.756	1.548
560		0.564	-3297.229	-5.17	-3292.059	0.207	0.748	180.473	1.524
570		0.574	-3298.138	-5.817	-3292.322	0.273	0.796	188.157	1.506
580		0.585	-3298.097	-6.274	-3291.824	0.293	0.76	186.177	1.35
590		0.595	-3300.189	-6.044	-3294.145	0.274	0.788	184.71	1.352
600		0.605	-3294.295	-5.993	-3288.303	0.273	0.801	179.276	1.408
610		0.615	-3295.507	-6.158	-3289.35	0.287	0.777	179.551	1.403
620		0.625	-3297.71	-7.768	-3289.942	0.393	0.803	185.505	1.393
630		0.635	-3298.547	-7.233	-3291.314	0.37	0.795	184.078	1.503
640		0.645	-3294.938	-6.772	-3288.166	0.327	0.787	179.666	1.367
650		0.655	-3296.624	-6.85	-3289.774	0.332	0.722	174.624	1.38
660		0.665	-3294.207	-6.884	-3287.324	0.334	0.728	169.86	1.403
