iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-3410.824	-6.444	-3404.38	0.132	0.343	239.03	4.326
10	0.011	-3394.751	-6.353	-3388.398	0.135	0.378	231.962	4.36
20	0.022	-3376.998	-6.403	-3370.595	0.161	0.426	225.278	4.477
30	0.032	-3361.576	-6.626	-3354.95	0.213	0.491	227.624	4.256
40	0.043	-3348.303	-6.284	-3342.018	0.179	0.554	226.48	4.059
50	0.053	-3342.527	-6.105	-3336.422	0.154	0.585	224.239	3.955
60	0.064	-3337.48	-6.643	-3330.837	0.236	0.62	222.097	3.915
70	0.074	-3337.709	-6.502	-3331.207	0.226	0.607	219.628	3.789
80	0.085	-3334.113	-6.792	-3327.321	0.253	0.705	219.315	3.954
90	0.096	-3333.523	-6.52	-3327.003	0.226	0.686	219.964	3.905
100	0.106	-3335.686	-8.171	-3327.515	0.349	0.711	225.513	3.947
110	0.117	-3337.783	-8.085	-3329.698	0.344	0.773	224.243	3.859
120	0.128	-3335.346	-6.423	-3328.922	0.2	0.736	227.242	3.915
130	0.139	-3332.481	-6.037	-3326.444	0.164	0.695	217.192	3.819
140	0.149	-3333.33	-6.24	-3327.09	0.192	0.7	219.739	3.898
150	0.159	-3331.833	-6.745	-3325.089	0.259	0.718	212.751	3.726
160	0.169	-3332.635	-6.521	-3326.114	0.252	0.755	202.262	3.732
170	0.178	-3329.738	-6.191	-3323.547	0.227	0.71	197.683	3.71
180	0.188	-3329.417	-6.094	-3323.323	0.203	0.627	200.318	3.461
190	0.197	-3327.161	-5.986	-3321.175	0.194	0.651	197.716	3.46
200	0.206	-3326.428	-6.137	-3320.291	0.211	0.707	196.725	3.413
210	0.215	-3326.942	-5.778	-3321.165	0.104	0.698	197.397	3.421
220	0.225	-3324.719	-5.96	-3318.759	0.162	0.715	196.109	3.216
230	0.234	-3326.34	-6.023	-3320.317	0.086	0.744	196.58	3.222
240	0.243	-3324.802	-5.958	-3318.844	0.12	0.681	201.604	3.209
250	0.253	-3324.832	-6.066	-3318.765	0.154	0.717	200.397	3.141
260	0.262	-3324.19	-6.324	-3317.866	0.214	0.711	195.527	3.181
270	0.271	-3323.594	-6.047	-3317.547	0.133	0.67	200.521	3.107
280	0.281	-3321.464	-6.402	-3315.062	0.111	0.685	198.57	2.841
290	0.29	-3319.51	-7.044	-3312.465	0.131	0.771	199.836	2.542
300	0.299	-3318.07	-6.99	-3311.08	0.138	0.76	193.919	2.531
310	0.309	-3317.794	-7.238	-3310.556	0.126	0.763	200.442	2.469
320	0.318	-3317.449	-7.577	-3309.871	0.238	0.725	193.107	2.542
330	0.327	-3314.769	-8.215	-3306.554	0.271	0.735	184.356	2.393
340	0.337	-3315.125	-8.278	-3306.847	0.262	0.743	193.372	2.38
350	0.346	-3315.016	-7.456	-3307.56	0.161	0.767	185.742	2.347
360	0.355	-3309.226	-8.608	-3300.617	0.206	0.71	179.959	2.078
370	0.365	-3304.972	-9.952	-3295.02	0.271	0.731	166.4	1.885
380	0.374	-3305.51	-9.051	-3296.459	0.192	0.76	160.562	1.9
390	0.384	-3301.897	-10.004	-3291.892	0.214	0.779	154.566	1.742
400	0.393	-3296.702	-11.657	-3285.045	0.254	0.729	154.826	1.547
410	0.402	-3295.999	-11.693	-3284.306	0.131	0.794	158.162	1.446
420	0.412	-3292.759	-13.496	-3279.264	0.158	0.797	152.914	1.248
430	0.421	-3293.337	-13.687	-3279.65	0.146	0.782	151.973	1.224
440	0.431	-3293.523	-13.841	-3279.683	0.154	0.772	154.002	1.214
450	0.44	-3294.738	-13.803	-3280.935	0.202	0.781	158.258	1.25
460	0.449	-3296.506	-13.457	-3283.049	0.142	0.832	155.365	1.252
470	0.459	-3295.592	-14.151	-3281.441	0.165	0.79	151.523	1.187
480	0.468	-3291.537	-13.996	-3277.541	0.182	0.79	147.69	1.205
490	0.477	-3292.644	-15.148	-3277.496	0.343	0.803	140.603	1.26
500	0.487	-3289.3	-13.852	-3275.448	0.274	0.76	136.52	1.288
510	0.496	-3288.198	-14.393	-3273.805	0.295	0.753	133.404	1.255
520	0.505	-3287.896	-15.971	-3271.925	0.38	0.741	128.211	1.221
530	0.515	-3287.554	-15.019	-3272.536	0.347	0.723	121.223	1.252
540	0.524	-3286.538	-15.184	-3271.354	0.344	0.712	121.534	1.232
550	0.534	-3286.852	-19.029	-3267.823	0.471	0.769	117.979	1.099
560	0.543	-3285.965	-17.884	-3268.081	0.431	0.774	112.805	1.12
570	0.552	-3283.782	-17.499	-3266.283	0.355	0.78	114.643	1.044
580	0.562	-3282.207	-16.893	-3265.314	0.336	0.726	111.278	1.064
590	0.571	-3285.191	-16.109	-3269.082	0.296	0.799	120.362	1.091
600	0.581	-3283.271	-15.621	-3267.651	0.265	0.766	121.013	1.099
610	0.59	-3284.986	-15.897	-3269.089	0.223	0.731	124.192	1.045
620	0.599	-3285.193	-15.47	-3269.723	0.257	0.764	126.697	1.11
630	0.609	-3285.531	-15.362	-3270.169	0.183	0.762	127.584	1.067
640	0.618	-3283.917	-14.693	-3269.225	0.192	0.724	120.845	1.118
650	0.628	-3285.08	-16.193	-3268.887	0.181	0.707	116.538	0.994
660	0.637	-3283.333	-15.038	-3268.294	0.193	0.725	118.7	1.089
670	0.646	-3284.116	-13.54	-3270.576	0.161	0.759	118.415	1.203
680	0.656	-3282.614	-16.745	-3265.869	0.229	0.738	115.734	0.981
690	0.665	-3282.041	-17.523	-3264.519	0.264	0.799	111.994	0.951
700	0.674	-3280.896	-17.937	-3262.959	0.278	0.785	106.277	0.93
710	0.684	-3279.645	-15.069	-3264.576	0.139	0.74	105.621	1.056
720	0.693	-3279.083	-15.149	-3263.934	0.188	0.715	104.975	1.065
730	0.702	-3278.114	-17.174	-3260.94	0.215	0.74	102.076	0.933
740	0.712	-3277.222	-17.454	-3259.767	0.186	0.803	95.878	0.899
750	0.721	-3276.221	-16.346	-3259.875	0.147	0.748	99.263	0.96
760	0.731	-3276.876	-16.147	-3260.73	0.094	0.726	96.127	0.975
770	0.74	-3277.989	-14.949	-3263.04	0.132	0.705	94.576	1.055
780	0.749	-3278.074	-16.039	-3262.035	0.142	0.683	94.406	0.976
790	0.759	-3275.214	-15.391	-3259.823	0.119	0.714	85.585	1.016
800	0.768	-3274.9	-16.441	-3258.459	0.134	0.696	87.969	0.944
810	0.778	-3274.706	-16.685	-3258.022	0.235	0.714	87.064	0.969
820	0.787	-3275.188	-15.77	-3259.418	0.201	0.71	83.579	1.01
830	0.797	-3274.06	-17.33	-3256.731	0.207	0.737	87.53	0.91
840	0.807	-3273.776	-17.584	-3256.191	0.232	0.683	80.261	0.904
850	0.816	-3271.697	-17.382	-3254.315	0.179	0.72	79.124	0.891
860	0.826	-3272.328	-17.628	-3254.701	0.151	0.753	77.549	0.868
870	0.835	-3271.175	-20.565	-3250.609	0.284	0.784	73.446	0.768
880	0.845	-3271.728	-18.947	-3252.781	0.23	0.752	74.836	0.822
890	0.855	-3272.781	-19.377	-3253.404	0.245	0.777	76.5	0.807
900	0.864	-3270.717	-18.739	-3251.978	0.247	0.732	70.353	0.841
910	0.874	-3271.116	-19.168	-3251.948	0.275	0.758	72.809	0.836
920	0.885	-3271.468	-18.368	-3253.101	0.236	0.73	74.44	0.857
930	0.895	-3272.454	-19.107	-3253.347	0.257	0.751	79.249	0.83
940	0.905	-3272.873	-17.89	-3254.982	0.281	0.716	80.213	0.919
950	0.915	-3272.861	-20.241	-3252.62	0.285	0.782	81.091	0.788
960	0.925	-3273.71	-19.606	-3254.104	0.267	0.779	84.423	0.811
970	0.934	-3274.84	-20.411	-3254.429	0.309	0.75	80.76	0.795
980	0.944	-3272.757	-20.8	-3251.956	0.31	0.762	76.194	0.773
990	0.954	-3272.196	-20.646	-3251.549	0.378	0.751	71.394	0.836
1000	0.964	-3272.797	-21.004	-3251.793	0.397	0.712	74.294	0.836
1010	0.974	-3274.798	-17.018	-3257.78	0.294	0.689	74.276	0.986
1020	0.983	-3271.439	-19.026	-3252.413	0.286	0.755	72.766	0.852
1030	0.993	-3271.689	-18.113	-3253.576	0.147	0.74	82.12	0.841
1040	1.002	-3272.316	-18.602	-3253.714	0.129	0.703	75.55	0.809
1050	1.012	-3270.237	-18.567	-3251.67	0.109	0.721	71.542	0.811
1060	1.021	-3269.897	-18.847	-3251.05	0.124	0.721	72.986	0.795
1070	1.03	-3269.897	-18.847	-3251.05	0.124	0.721	72.986	0.795
1080	1.04	-3270.897	-19.558	-3251.34	0.09	0.781	73.294	0.765
1090	1.049	-3271.302	-20.822	-3250.48	0.052	0.768	68.554	0.727
1100	1.059	-3271.302	-20.822	-3250.48	0.052	0.768	68.554	0.727
1110	1.068	-3270.114	-21.413	-3248.701	0.044	0.779	65.127	0.709
1120	1.078	-3270.114	-21.413	-3248.701	0.044	0.779	65.127	0.709
1130	1.087	-3270.409	-20.944	-3249.465	0.047	0.771	66.793	0.727
1140	1.097	-3271.48	-17.719	-3253.761	0.137	0.735	74.166	0.859
1150	1.106	-3270.7	-19.97	-3250.729	0.109	0.728	65.916	0.738
1160	1.116	-3271.39	-20.11	-3251.28	0.102	0.772	71.645	0.734
1170	1.125	-3270.187	-19.61	-3250.577	0.116	0.78	70.579	0.756
1180	1.135	-3269.49	-19.565	-3249.925	0.191	0.713	68.377	0.769
1190	1.144	-3273.021	-17.375	-3255.647	0.24	0.7	71.811	0.919
