iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3449.017	-6.607	-3442.41	0.143	0.253	231.916	3.068
10		0.012	-3400.665	-7.152	-3393.514	0.221	0.364	236.577	3.045
20		0.023	-3388.281	-7.022	-3381.259	0.219	0.4	237.721	3.163
30		0.034	-3346.888	-6.806	-3340.082	0.21	0.567	236.456	3.293
40		0.045	-3345.205	-6.398	-3338.808	0.113	0.568	231.795	3.234
50		0.056	-3334.555	-6.377	-3328.177	0.117	0.655	231.126	3.247
60		0.067	-3328.803	-6.534	-3322.269	0.19	0.703	224.312	3.228
70		0.077	-3329.473	-6.405	-3323.068	0.129	0.766	226.348	3.159
80		0.088	-3326.342	-6.529	-3319.813	0.128	0.72	222.558	2.993
90		0.099	-3327.397	-6.473	-3320.924	0.152	0.68	217.777	3.009
100		0.109	-3327.423	-6.257	-3321.166	0.091	0.696	214.386	3.204
110		0.12	-3327.346	-6.996	-3320.35	0.049	0.733	213.83	3.087
120		0.13	-3323.781	-6.404	-3317.377	0.11	0.712	210.79	2.964
130		0.141	-3322.808	-6.843	-3315.966	0.193	0.772	202.167	2.775
140		0.151	-3322.265	-7.505	-3314.76	0.265	0.714	206.951	2.814
150		0.162	-3321.626	-7.165	-3314.461	0.237	0.73	204.434	2.813
160		0.172	-3320.745	-7.569	-3313.175	0.29	0.689	197.362	2.862
170		0.183	-3319.35	-7.179	-3312.171	0.223	0.75	193.375	2.656
180		0.193	-3318.621	-7.169	-3311.452	0.17	0.695	198.966	2.53
190		0.204	-3316.936	-7.501	-3309.435	0.165	0.753	203.355	2.424
200		0.215	-3316.09	-8.78	-3307.31	0.286	0.747	201.239	2.351
210		0.225	-3313.823	-8.559	-3305.264	0.213	0.697	194.311	2.157
220		0.236	-3316.093	-10.354	-3305.739	0.296	0.67	196.623	1.953
230		0.246	-3309.527	-9.666	-3299.862	0.211	0.742	192.587	1.897
240		0.257	-3311.585	-10.397	-3301.187	0.245	0.741	199.901	1.838
250		0.267	-3306.815	-11.392	-3295.423	0.265	0.743	188.152	1.674
260		0.278	-3306.842	-10.303	-3296.539	0.207	0.765	190.489	1.767
270		0.288	-3309.706	-10.552	-3299.153	0.318	0.734	187.859	1.95
280		0.299	-3308.12	-10.641	-3297.48	0.197	0.74	191.625	1.699
290		0.309	-3304.396	-10.914	-3293.481	0.175	0.79	183.871	1.62
300		0.32	-3300.411	-12.009	-3288.402	0.22	0.771	173.307	1.492
310		0.331	-3304.699	-13.693	-3291.007	0.304	0.733	179.792	1.411
320		0.341	-3308.166	-13.063	-3295.103	0.287	0.717	187.285	1.474
330		0.352	-3305.149	-12.518	-3292.631	0.186	0.812	189.497	1.426
340		0.362	-3305.815	-11.748	-3294.067	0.161	0.82	189.288	1.506
350		0.373	-3305.068	-12.227	-3292.841	0.188	0.812	188.94	1.463
360		0.384	-3305.606	-11.704	-3293.902	0.165	0.782	190.644	1.516
370		0.394	-3305.302	-11.518	-3293.784	0.122	0.813	185.726	1.519
380		0.405	-3303.438	-12.357	-3291.081	0.208	0.817	183.557	1.456
390		0.415	-3302.254	-13.016	-3289.238	0.184	0.795	181.554	1.354
400		0.426	-3304.504	-12.381	-3292.124	0.147	0.773	184.592	1.411
410		0.436	-3305.875	-13.566	-3292.309	0.082	0.732	178.941	1.285
420		0.447	-3300.404	-13.3	-3287.104	0.058	0.798	172.829	1.343
430		0.457	-3299.919	-12.395	-3287.524	0.111	0.787	172.087	1.387
440		0.468	-3301.176	-12.043	-3289.132	0.182	0.764	174.028	1.452
450		0.478	-3299.102	-12.505	-3286.597	0.223	0.79	169.469	1.427
460		0.489	-3298.253	-12.136	-3286.117	0.212	0.778	167.513	1.457
470		0.499	-3296.215	-13.151	-3283.064	0.236	0.782	162.423	1.355
480		0.51	-3296.277	-12.825	-3283.452	0.258	0.789	160.805	1.416
490		0.52	-3295.337	-13.372	-3281.965	0.296	0.797	155.3	1.398
500		0.531	-3295.166	-14.221	-3280.945	0.288	0.756	154.858	1.292
510		0.541	-3293.236	-14.613	-3278.623	0.248	0.758	151.142	1.203
520		0.552	-3292.176	-13.726	-3278.45	0.232	0.741	146.488	1.267
530		0.562	-3288.577	-14.504	-3274.073	0.264	0.776	137.644	1.213
540		0.573	-3289.941	-14.157	-3275.784	0.167	0.741	142.044	1.175
550		0.583	-3290.351	-13.325	-3277.026	0.124	0.78	141.971	1.243
560		0.594	-3290.81	-14.06	-3276.75	0.202	0.803	141.734	1.205
570		0.604	-3290.295	-13.935	-3276.36	0.191	0.8	138.874	1.206
580		0.615	-3285.593	-15.109	-3270.484	0.195	0.782	130.517	1.097
590		0.625	-3285.918	-14.672	-3271.245	0.188	0.782	131.396	1.13
600		0.636	-3287.444	-14.332	-3273.112	0.152	0.815	125.438	1.138
610		0.646	-3284.194	-14.542	-3269.651	0.084	0.76	111.556	1.114
620		0.657	-3280.129	-16.02	-3264.108	0.092	0.779	106.257	0.993
630		0.667	-3280.834	-16.332	-3264.502	0.127	0.795	105.851	0.964
640		0.678	-3278.971	-18.386	-3260.585	0.284	0.788	99.603	0.903
650		0.688	-3277.669	-17.752	-3259.917	0.213	0.811	97.955	0.895
660		0.699	-3276.974	-17.475	-3259.499	0.251	0.78	98.441	0.935
670		0.709	-3278.858	-17.717	-3261.141	0.235	0.804	100.759	0.911
680		0.72	-3279.167	-16.031	-3263.135	0.272	0.711	102.267	1.055
690		0.731	-3276.668	-15.9	-3260.768	0.156	0.739	100.367	0.994
700		0.741	-3277.579	-16.836	-3260.744	0.202	0.728	99.129	0.947
710		0.752	-3278.232	-15.079	-3263.153	0.176	0.734	99.019	1.061
720		0.762	-3278.096	-15.177	-3262.919	0.205	0.726	98.536	1.067
730		0.773	-3276.865	-16.334	-3260.531	0.144	0.769	93.706	0.957
740		0.783	-3279.448	-17.615	-3261.833	0.251	0.778	101.22	0.928
750		0.794	-3277.957	-17.849	-3260.108	0.133	0.789	98.611	0.864
760		0.804	-3277.955	-18.034	-3259.921	0.146	0.766	95.354	0.852
770		0.815	-3276.487	-17.943	-3258.544	0.154	0.779	94.352	0.859
780		0.825	-3274.368	-17.785	-3256.584	0.144	0.726	87.571	0.862
790		0.836	-3274.723	-18.782	-3255.942	0.152	0.785	87.289	0.808
800		0.846	-3273.661	-18.556	-3255.105	0.141	0.795	86.412	0.818
810		0.857	-3273.894	-18.18	-3255.715	0.14	0.8	86.562	0.839
820		0.867	-3274.115	-18.413	-3255.702	0.118	0.785	86.835	0.825
830		0.878	-3273.925	-18.775	-3255.15	0.168	0.784	86.158	0.811
840		0.888	-3273.563	-17.824	-3255.739	0.118	0.761	82.327	0.856
850		0.899	-3274.448	-16.887	-3257.561	0.1	0.75	80.918	0.915
860		0.909	-3273.161	-17.103	-3256.058	0.112	0.702	82.1	0.899
870		0.92	-3274.258	-16.749	-3257.509	0.154	0.709	85.193	0.926
880		0.93	-3273.867	-16.891	-3256.976	0.162	0.716	88.612	0.921
890		0.941	-3274.979	-16.953	-3258.027	0.185	0.721	91.109	0.926
900		0.952	-3274.533	-16.573	-3257.96	0.226	0.728	89.153	0.972
910		0.962	-3274.755	-16.533	-3258.222	0.235	0.725	89.106	0.981
920		0.973	-3272.524	-17.615	-3254.909	0.212	0.725	82.498	0.893
930		0.983	-3276.779	-19.914	-3256.866	0.188	0.751	81.075	0.755
940		0.994	-3273.051	-18.985	-3254.066	0.205	0.755	79.085	0.809
950		1.005	-3272.231	-18.702	-3253.529	0.24	0.739	83.504	0.844
960		1.015	-3272.184	-19.602	-3252.582	0.29	0.75	75.035	0.823
970		1.026	-3270.865	-19.981	-3250.884	0.235	0.776	73.792	0.769
980		1.037	-3271.103	-20.236	-3250.867	0.205	0.779	73.783	0.744
990		1.047	-3272.17	-19.821	-3252.349	0.27	0.764	72.919	0.797
1000		1.058	-3269.954	-19.999	-3249.955	0.336	0.734	64.371	0.833
1010		1.068	-3268.949	-22.475	-3246.475	0.365	0.709	60.157	0.728
1020		1.079	-3269.238	-21.445	-3247.793	0.369	0.726	60.198	0.782
1030		1.089	-3272.09	-21.974	-3250.117	0.253	0.694	55.503	0.68
1040		1.1	-3271.134	-23.542	-3247.592	0.264	0.749	52.97	0.62
1050		1.11	-3267.073	-23.521	-3243.551	0.294	0.718	45.137	0.636
1060		1.121	-3264.889	-22.996	-3241.893	0.273	0.705	44.533	0.646
1070		1.131	-3266.151	-22.147	-3244.004	0.237	0.729	47.334	0.665
1080		1.142	-3267.021	-21.948	-3245.073	0.232	0.783	47.763	0.672
1090		1.152	-3266.6	-21.919	-3244.681	0.259	0.743	45.974	0.686
1100		1.163	-3265.871	-23.957	-3241.914	0.322	0.728	37.431	0.635
1110		1.173	-3265.058	-24.902	-3240.157	0.335	0.786	35.996	0.606
1120		1.184	-3264.308	-25.643	-3238.665	0.33	0.796	33.158	0.578
1130		1.194	-3264.48	-24.009	-3240.47	0.32	0.758	33.477	0.633
1140		1.205	-3263.18	-27.509	-3235.671	0.345	0.763	24.639	0.526
1150		1.215	-3262.493	-26.804	-3235.689	0.293	0.82	21.478	0.528
1160		1.225	-3263.235	-26.417	-3236.818	0.289	0.829	22.92	0.538
1170		1.236	-3263.148	-26.138	-3237.01	0.258	0.753	22.003	0.534
1180		1.246	-3263.825	-28.936	-3234.89	0.333	0.78	13.426	0.488
1190		1.257	-3264.182	-29.408	-3234.775	0.333	0.732	13.908	0.474
1200		1.267	-3263.794	-29.861	-3233.933	0.374	0.756	13.305	0.481
1210		1.278	-3263.466	-30.252	-3233.213	0.433	0.779	18.395	0.495
1220		1.288	-3263.24	-28.836	-3234.404	0.399	0.783	19.376	0.517
1230		1.299	-3262.694	-28.885	-3233.809	0.412	0.795	22.503	0.521
1240		1.309	-3262.694	-28.885	-3233.809	0.412	0.795	22.503	0.521
1250		1.32	-3263.446	-28.684	-3234.761	0.402	0.805	21.319	0.522
1260		1.33	-3264.253	-28.094	-3236.159	0.421	0.8	24.714	0.551
1270		1.341	-3263.247	-29.366	-3233.881	0.432	0.795	21.867	0.518
1280		1.351	-3263.105	-28.79	-3234.315	0.391	0.776	22.302	0.511
1290		1.362	-3263.133	-28.328	-3234.806	0.393	0.801	21.347	0.528
1300		1.372	-3263.929	-29.535	-3234.394	0.453	0.774	22.109	0.526
1310		1.382	-3265.119	-30.389	-3234.73	0.423	0.771	20.359	0.483
1320		1.393	-3265.029	-31.497	-3233.533	0.493	0.796	16.464	0.499
1330		1.403	-3264.386	-32.416	-3231.97	0.511	0.803	15.995	0.485
1340		1.414	-3264.386	-32.416	-3231.97	0.511	0.803	15.995	0.485
1350		1.424	-3264.97	-33.001	-3231.969	0.513	0.795	14.064	0.472
1360		1.435	-3265.079	-32.677	-3232.402	0.516	0.787	15.382	0.482
1370		1.445	-3264.911	-33.134	-3231.777	0.51	0.792	16.93	0.463
1380		1.456	-3265.752	-30.753	-3234.999	0.431	0.816	17.407	0.48
1390		1.467	-3262.608	-30.775	-3231.833	0.438	0.789	18.586	0.482
1400		1.477	-3263.797	-29.205	-3234.592	0.434	0.783	23.355	0.524
1410		1.488	-3262.455	-27.076	-3235.379	0.31	0.77	20.958	0.526
1420		1.498	-3264.441	-25.98	-3238.461	0.318	0.743	21.877	0.566
1430		1.509	-3265.287	-25.262	-3240.024	0.318	0.72	27.286	0.587
1440		1.519	-3263.803	-25.994	-3237.81	0.383	0.77	29.483	0.597
1450		1.53	-3266.14	-26.126	-3240.014	0.35	0.713	28.032	0.573
1460		1.54	-3266.493	-26.146	-3240.348	0.402	0.724	27.742	0.605
1470		1.551	-3267.441	-26.796	-3240.645	0.372	0.7	31.006	0.56
1480		1.561	-3267.569	-27.782	-3239.787	0.411	0.748	32.158	0.551
1490		1.572	-3269.442	-28.643	-3240.799	0.466	0.742	33.812	0.558
1500		1.583	-3267.338	-26.743	-3240.595	0.426	0.71	35.072	0.596
1510		1.593	-3267.091	-26.808	-3240.283	0.436	0.708	35.322	0.601
1520		1.604	-3267.557	-28.005	-3239.552	0.423	0.755	32.143	0.551
1530		1.614	-3266.566	-26.602	-3239.964	0.408	0.752	40.964	0.588
1540		1.625	-3267.041	-21.753	-3245.287	0.253	0.682	47.982	0.689
1550		1.635	-3266.464	-21.897	-3244.567	0.252	0.693	51.188	0.682
1560		1.646	-3266.711	-21.362	-3245.348	0.164	0.738	53.457	0.676
1570		1.656	-3266.259	-21.625	-3244.634	0.148	0.757	52.78	0.662
1580		1.667	-3266.788	-20.286	-3246.501	0.165	0.761	49.351	0.725
1590		1.677	-3266.408	-20.69	-3245.718	0.159	0.742	43.3	0.705
1600		1.688	-3264.424	-21.692	-3242.732	0.113	0.764	40.374	0.659
1610		1.699	-3266.811	-23.205	-3243.606	0.142	0.82	38.831	0.601
1620		1.709	-3266.274	-22.318	-3243.956	0.161	0.832	38.343	0.638
1630		1.72	-3265.251	-22.218	-3243.034	0.178	0.796	42.199	0.644
1640		1.73	-3266.486	-23.773	-3242.713	0.205	0.815	35.663	0.593
1650		1.741	-3264.828	-25.177	-3239.651	0.281	0.773	35.144	0.57
1660		1.751	-3264.593	-23.807	-3240.786	0.304	0.749	34.433	0.632
1670		1.762	-3264.504	-24.977	-3239.528	0.32	0.738	32.206	0.596
1680		1.772	-3265.542	-23.324	-3242.218	0.299	0.749	33.232	0.65
1690		1.783	-3264.919	-23.633	-3241.286	0.215	0.731	39.592	0.599
