iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0	0.001	-1942.604	-13.793	-1928.811	0.32	0.408	45.281	0.453
10	0.008	-1836.937	-11.692	-1825.245	0.32	0.449	38.462	0.596
20	0.015	-1763.947	-10.012	-1753.936	0.32	0.604	32.585	0.794
30	0.023	-1741.202	-10.727	-1730.475	0.32	0.673	34.941	0.783
40	0.03	-1729.531	-9.151	-1720.379	0.32	0.771	29.722	0.754
50	0.037	-1709.473	-8.914	-1700.559	0.32	0.822	28.989	0.695
60	0.045	-1710.036	-8.758	-1701.278	0.32	0.812	28.504	0.683
70	0.052	-1714.921	-8.602	-1706.319	0.32	0.809	28.059	0.636
80	0.059	-1711.663	-7.498	-1704.165	0.32	0.77	24.347	0.649
90	0.067	-1704.481	-6.425	-1698.055	0.32	0.814	20.633	0.609
100	0.074	-1704.481	-6.425	-1698.055	0.32	0.814	20.633	0.609
110	0.081	-1700.287	-6.301	-1693.986	0.32	0.866	20.137	0.579
120	0.088	-1694.0	-5.508	-1688.492	0.32	0.866	17.305	0.575
130	0.096	-1692.991	-4.681	-1688.31	0.32	0.856	14.295	0.533
140	0.103	-1688.934	-3.666	-1685.268	0.32	0.886	10.175	0.495
150	0.11	-1689.457	-3.551	-1685.906	0.32	0.879	9.697	0.474
160	0.118	-1688.041	-3.82	-1684.221	0.32	0.916	10.712	0.495
170	0.125	-1689.168	-3.414	-1685.753	0.32	0.946	8.734	0.436
180	0.132	-1689.772	-2.98	-1686.791	0.32	0.924	6.699	0.409
190	0.14	-1689.223	-2.881	-1686.342	0.32	0.876	6.434	0.428
200	0.147	-1689.223	-2.881	-1686.342	0.32	0.876	6.434	0.428
210	0.154	-1687.766	-2.717	-1685.049	0.32	0.916	5.121	0.401
220	0.162	-1686.93	-3.312	-1683.618	0.32	0.941	8.317	0.457
230	0.169	-1687.297	-3.368	-1683.929	0.32	0.932	8.651	0.475
240	0.176	-1687.297	-3.368	-1683.929	0.32	0.932	8.651	0.475
250	0.184	-1686.446	-2.987	-1683.459	0.32	0.936	6.715	0.442
260	0.191	-1686.446	-2.987	-1683.459	0.32	0.936	6.715	0.442
270	0.198	-1686.446	-2.987	-1683.459	0.32	0.936	6.715	0.442
280	0.206	-1686.828	-2.986	-1683.842	0.32	0.911	6.867	0.44
290	0.213	-1686.828	-2.986	-1683.842	0.32	0.911	6.867	0.44
300	0.22	-1687.242	-3.267	-1683.975	0.32	0.923	8.219	0.451
310	0.227	-1687.242	-3.267	-1683.975	0.32	0.923	8.219	0.451
320	0.235	-1686.644	-3.083	-1683.561	0.32	0.922	7.322	0.447
330	0.242	-1686.644	-3.083	-1683.561	0.32	0.922	7.322	0.447
340	0.249	-1687.27	-2.991	-1684.278	0.32	0.935	6.709	0.422
350	0.257	-1686.574	-2.83	-1683.744	0.32	0.951	5.584	0.414
360	0.264	-1687.127	-2.859	-1684.268	0.32	0.942	5.856	0.41
370	0.271	-1687.127	-2.859	-1684.268	0.32	0.942	5.856	0.41
380	0.279	-1687.127	-2.859	-1684.268	0.32	0.942	5.856	0.41
390	0.286	-1686.654	-2.911	-1683.743	0.32	0.916	6.431	0.441
400	0.293	-1686.654	-2.911	-1683.743	0.32	0.916	6.431	0.441
410	0.301	-1687.228	-2.661	-1684.566	0.32	0.953	4.052	0.381
420	0.308	-1687.401	-2.653	-1684.749	0.32	0.963	3.709	0.388
430	0.315	-1687.052	-2.817	-1684.234	0.32	0.957	5.441	0.422
440	0.323	-1686.615	-2.621	-1683.994	0.32	0.942	3.859	0.388
450	0.33	-1686.615	-2.621	-1683.994	0.32	0.942	3.859	0.388
460	0.338	-1686.615	-2.621	-1683.994	0.32	0.942	3.859	0.388
470	0.345	-1687.668	-2.702	-1684.966	0.32	0.939	4.726	0.389
480	0.353	-1686.492	-2.642	-1683.85	0.32	0.942	4.171	0.397
490	0.36	-1686.492	-2.642	-1683.85	0.32	0.942	4.171	0.397
500	0.368	-1686.661	-2.725	-1683.936	0.32	0.927	5.097	0.405
510	0.375	-1686.661	-2.725	-1683.936	0.32	0.927	5.097	0.405
520	0.382	-1686.601	-2.631	-1683.969	0.32	0.924	4.344	0.403
530	0.39	-1686.601	-2.631	-1683.969	0.32	0.924	4.344	0.403
540	0.397	-1686.601	-2.631	-1683.969	0.32	0.924	4.344	0.403
550	0.404	-1686.601	-2.631	-1683.969	0.32	0.924	4.344	0.403
560	0.412	-1687.283	-2.794	-1684.489	0.32	0.966	5.063	0.402
570	0.419	-1689.482	-3.012	-1686.47	0.32	0.975	6.337	0.437
580	0.426	-1688.934	-3.211	-1685.723	0.32	0.974	7.41	0.43
590	0.434	-1688.934	-3.211	-1685.723	0.32	0.974	7.41	0.43
600	0.441	-1687.649	-3.049	-1684.6	0.32	0.964	6.717	0.424
610	0.448	-1687.649	-3.049	-1684.6	0.32	0.964	6.717	0.424
620	0.456	-1687.758	-3.129	-1684.629	0.32	0.964	7.154	0.43
630	0.463	-1687.758	-3.129	-1684.629	0.32	0.964	7.154	0.43
640	0.471	-1688.508	-2.878	-1685.63	0.32	0.972	5.49	0.398
650	0.478	-1686.615	-2.781	-1683.834	0.32	0.922	5.552	0.415
660	0.485	-1687.213	-2.718	-1684.495	0.32	0.904	5.242	0.413
670	0.493	-1686.787	-2.703	-1684.083	0.32	0.91	5.113	0.416
680	0.5	-1686.597	-2.906	-1683.69	0.32	0.932	6.258	0.423
