iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
0		0.001	-3820.48	-9.668	-3810.812	0.442	0.381	443.778	1.28
10		0.011	-3761.231	-9.397	-3751.834	0.438	0.516	444.52	1.39
20		0.021	-3711.128	-9.416	-3701.712	0.439	0.658	450.438	1.434
30		0.031	-3690.448	-9.772	-3680.677	0.439	0.76	451.967	1.253
40		0.041	-3662.493	-9.602	-3652.891	0.441	0.829	449.751	1.366
50		0.051	-3630.126	-8.62	-3621.506	0.345	0.996	451.245	1.181
60		0.061	-3630.126	-8.62	-3621.506	0.345	0.996	451.245	1.181
70		0.071	-3612.388	-8.233	-3604.154	0.356	0.993	450.254	1.448
80		0.081	-3612.056	-8.659	-3603.398	0.375	0.997	451.533	1.447
90		0.091	-3610.159	-8.5	-3601.659	0.366	0.998	451.147	1.492
100		0.101	-3607.408	-8.684	-3598.723	0.379	0.998	441.833	1.438
110		0.111	-3604.755	-7.952	-3596.803	0.346	0.995	441.358	1.524
120		0.121	-3604.755	-7.952	-3596.803	0.346	0.995	441.358	1.524
130		0.131	-3604.755	-7.952	-3596.803	0.346	0.995	441.358	1.524
140		0.141	-3603.496	-7.618	-3595.879	0.326	0.995	442.178	1.58
150		0.151	-3603.496	-7.618	-3595.879	0.326	0.995	442.178	1.58
160		0.161	-3602.481	-8.108	-3594.373	0.356	0.997	442.559	1.602
170		0.171	-3602.481	-8.108	-3594.373	0.356	0.997	442.559	1.602
180		0.181	-3602.89	-8.993	-3593.896	0.409	0.996	439.609	1.582
190		0.191	-3602.235	-8.55	-3593.685	0.389	0.993	443.833	1.692
200		0.201	-3598.928	-8.692	-3590.236	0.38	1.0	441.304	1.723
210		0.211	-3600.119	-7.752	-3592.367	0.342	0.993	439.476	1.67
220		0.221	-3600.041	-8.168	-3591.874	0.368	0.994	439.456	1.669
230		0.231	-3594.25	-7.703	-3586.547	0.349	0.982	434.704	1.842
240		0.241	-3592.846	-7.939	-3584.907	0.366	0.981	430.042	1.862
250		0.251	-3585.918	-6.965	-3578.954	0.307	0.988	415.995	1.773
260		0.261	-3585.44	-6.826	-3578.614	0.299	0.986	413.271	1.759
270		0.271	-3583.56	-7.345	-3576.215	0.332	0.993	412.5	1.825
280		0.28	-3583.444	-8.057	-3575.387	0.36	0.999	414.769	1.825
290		0.29	-3583.444	-8.057	-3575.387	0.36	0.999	414.769	1.825
300		0.301	-3583.444	-8.057	-3575.387	0.36	0.999	414.769	1.825
310		0.311	-3583.444	-8.057	-3575.387	0.36	0.999	414.769	1.825
320		0.321	-3584.673	-6.89	-3577.784	0.308	0.983	409.133	1.803
330		0.331	-3582.934	-6.78	-3576.154	0.298	0.988	407.778	1.755
340		0.341	-3582.934	-6.78	-3576.154	0.298	0.988	407.778	1.755
350		0.351	-3581.801	-6.211	-3575.59	0.247	0.992	407.569	1.745
360		0.361	-3582.749	-5.975	-3576.774	0.228	0.986	404.907	1.661
370		0.371	-3580.278	-6.941	-3573.337	0.298	0.998	404.702	1.685
380		0.38	-3580.594	-6.083	-3574.512	0.236	0.992	403.874	1.7
390		0.39	-3578.521	-6.282	-3572.239	0.238	0.999	401.255	1.712
400		0.401	-3578.547	-6.067	-3572.479	0.235	0.993	400.704	1.884
410		0.41	-3582.938	-6.017	-3576.921	0.229	0.992	403.253	1.929
420		0.42	-3579.862	-5.532	-3574.329	0.153	0.994	403.998	1.88
430		0.43	-3578.354	-5.617	-3572.736	0.144	0.998	402.824	1.837
440		0.44	-3578.877	-5.524	-3573.353	0.156	0.994	401.105	1.735
450		0.45	-3578.105	-5.783	-3572.321	0.198	0.995	401.612	1.804
460		0.46	-3577.743	-5.528	-3572.215	0.163	0.994	398.383	1.803
470		0.47	-3577.743	-5.528	-3572.215	0.163	0.994	398.383	1.803
480		0.48	-3577.743	-5.528	-3572.215	0.163	0.994	398.383	1.803
490		0.49	-3577.743	-5.528	-3572.215	0.163	0.994	398.383	1.803
500		0.5	-3575.859	-5.616	-3570.242	0.173	0.997	393.5	1.811
510		0.51	-3578.946	-5.363	-3573.582	0.153	0.984	395.194	1.793
520		0.521	-3576.594	-5.432	-3571.161	0.157	0.992	393.096	1.817
530		0.531	-3576.594	-5.432	-3571.161	0.157	0.992	393.096	1.817
540		0.54	-3575.682	-5.424	-3570.259	0.127	0.996	392.458	1.818
550		0.55	-3574.322	-5.574	-3568.748	0.174	0.996	390.797	1.738
560		0.56	-3574.322	-5.574	-3568.748	0.174	0.996	390.797	1.738
570		0.57	-3574.322	-5.574	-3568.748	0.174	0.996	390.797	1.738
580		0.58	-3574.322	-5.574	-3568.748	0.174	0.996	390.797	1.738
590		0.59	-3574.322	-5.574	-3568.748	0.174	0.996	390.797	1.738
600		0.6	-3574.322	-5.574	-3568.748	0.174	0.996	390.797	1.738
610		0.609	-3574.682	-5.509	-3569.173	0.158	0.997	390.93	1.749
620		0.619	-3575.501	-5.523	-3569.978	0.182	0.991	390.013	1.791
630		0.629	-3575.501	-5.523	-3569.978	0.182	0.991	390.013	1.791
640		0.639	-3574.118	-5.477	-3568.641	0.155	0.997	388.736	1.761
650		0.649	-3574.118	-5.477	-3568.641	0.155	0.997	388.736	1.761
660		0.659	-3574.098	-5.72	-3568.378	0.155	1.0	391.441	1.809
670		0.668	-3574.098	-5.72	-3568.378	0.155	1.0	391.441	1.809
680		0.678	-3574.098	-5.72	-3568.378	0.155	1.0	391.441	1.809
690		0.688	-3574.098	-5.72	-3568.378	0.155	1.0	391.441	1.809
700		0.698	-3574.098	-5.72	-3568.378	0.155	1.0	391.441	1.809
710		0.708	-3574.098	-5.72	-3568.378	0.155	1.0	391.441	1.809
720		0.718	-3574.098	-5.72	-3568.378	0.155	1.0	391.441	1.809
730		0.728	-3576.411	-5.344	-3571.067	0.119	0.991	392.039	1.825
740		0.738	-3576.411	-5.344	-3571.067	0.119	0.991	392.039	1.825
750		0.748	-3576.103	-5.412	-3570.691	0.094	0.991	389.531	1.75
