"","id","Ros","Sulf"
"1","M0821","R/R","S/+"
"2","M0843","R/R","S/+"
"3","M1003","r/r","s/s"
"4","M1011","r/r","s/s"
"5","M1014","r/r","s/s"
"6","M1530","R/R","s/s"
"7","M0158","r/r","s/s"
"8","M0170","r/r","s/s"
"9","M0172","r/r","s/s"
"10","M0174","r/r","s/s"
"11","M0178","r/r","s/s"
"12","M0183","r/r","s/s"
"13","M0187","r/r","s/s"
"14","M0190","r/r","s/s"
"15","M0195","r/r","s/s"
"16","M0294","r/r","s/s"
"17","M0301","R/R","S/+"
"18","M0303","R/R","S/+"
"19","M0305","R/R","S/+"
"20","M0307","R/R","S/+"
"21","M0308","R/R","S/+"
"22","M0311","R/R","S/+"
"23","M0313","R/R","S/+"
"24","M0315","R/R","S/+"
"25","M0316","R/r","S/+"
"26","M0324","R/R","S/+"
"27","M0326","R/R","S/+"
"28","M0349","R/R","S/+"
"29","M0353","r/r","s/s"
"30","M0355","r/r","s/s"
"31","M0356","r/r","s/s"
"32","M0357","r/r","s/s"
"33","M0359","r/r","s/s"
"34","M0362","r/r","s/s"
"35","M0366","r/r","s/s"
"36","M0368","r/r","s/s"
"37","M0370","r/r","s/s"
"38","M0374","r/r","s/s"
"39","M0375","r/r","s/s"
"40","M0377","r/r","s/s"
"41","M0378","r/r","s/s"
"42","M0380","r/r","s/s"
"43","M0386","r/r","s/s"
"44","M0389","R/R","s/s"
"45","M0396","R/r","s/s"
"46","M0397","r/r","s/s"
"47","M0398","r/r","S/+"
"48","L1295","r/r","s/s"
"49","M0438","R/R","S/+"
"50","M0450","R/R","S/+"
"51","M0454","R/R","S/+"
"52","M0490","R/R","S/+"
"53","M0501","R/R","S/+"
"54","M0506","r/r","s/s"
"55","M0507","R/R","S/+"
"56","M0519","r/r","s/s"
"57","M0522","r/r","s/s"
"58","M0524","r/r","s/s"
"59","M0531","R/R","S/+"
"60","M0533","R/R","S/+"
"61","M0538","R/R","S/+"
"62","M0542","R/R","S/+"
"63","M0543","R/R","S/+"
"64","M0549","R/R","S/+"
"65","M0550","r/r","s/s"
"66","M0551","R/R","S/+"
"67","M0553","R/R","S/+"
"68","M0554","R/R","S/+"
"69","M0558","R/R","S/+"
"70","M0559","R/R","S/+"
"71","M0560","R/R","S/+"
"72","M0561","R/R","S/+"
"73","M0562","R/R","S/+"
"74","M0563","R/R","S/+"
"75","M0565","R/R","S/+"
"76","M0566","R/R","s/s"
"77","M0567","R/R","s/s"
"78","M0569","R/R","S/+"
"79","M0570","R/R","S/+"
"80","M0571","R/R","S/+"
"81","M0572","r/r","s/s"
"82","M0573","R/R","S/+"
"83","M0574","R/R","S/+"
"84","M0576","R/R","S/+"
"85","M0577","R/R","S/+"
"86","M0578","r/r","s/s"
"87","M0581","R/R","S/+"
"88","M0582","R/R","S/+"
"89","M0585","R/R","S/+"
"90","M0586","R/R","S/+"
"91","M0587","R/R","S/+"
"92","M0588","R/R","S/+"
"93","M0590","R/R","S/+"
"94","M0594","r/r","s/s"
"95","M0595","R/R","S/+"
"96","M0599","R/R","S/+"
"97","M0600","R/R","s/s"
"98","M0629","R/R","S/+"
"99","M0651","R/R","S/+"
"100","M0655","R/R","S/+"
"101","M0659","R/R","S/+"
"102","M0665","R/R","S/+"
"103","M0671","R/R","S/+"
"104","M0676","R/R","S/+"
"105","M0677","R/R","S/+"
"106","M0678","R/R","S/+"
"107","M0679","R/R","S/+"
"108","M0680","R/R","S/+"
"109","M0691","R/R","S/+"
"110","M0696","R/R","S/+"
"111","M0697","R/R","S/+"
"112","M0709","R/R","S/+"
"113","M0736","R/R","S/+"
"114","M0802","r/r","s/s"
"115","M0812","R/R","S/+"
"116","M0825","r/r","s/s"
"117","L1321","r/r","s/s"
"118","M0834","R/R","S/+"
"119","M0823","R/R","S/+"
"120","M0862","r/r","s/s"
"121","M0864","r/r","s/s"
"122","M0869","r/r","S/+"
"123","M0872","r/r","s/s"
"124","M0874","r/r","S/+"
"125","M0882","r/r","s/s"
"126","M0887","r/r","s/s"
"127","M0889","r/r","s/s"
"128","M0891","r/r","s/s"
"129","M0896","r/r","s/s"
"130","M0901","r/r","s/s"
"131","M0903","r/r","s/s"
"132","M0906","r/r","s/s"
"133","M0907","r/r","s/s"
"134","M0908","r/r","s/s"
"135","M0909","r/r","s/s"
"136","M0912","r/r","s/s"
"137","M0914","r/r","s/s"
"138","M0915","r/r","s/s"
"139","M0916","r/r","s/s"
"140","M0918","r/r","s/s"
"141","M0919","r/r","s/s"
"142","M0923","r/r","s/s"
"143","M0928","r/r","s/s"
"144","M0929","r/r","s/s"
"145","M0934","r/r","s/s"
"146","M0937","r/r","s/s"
"147","M0940","r/r","s/s"
"148","M0941","r/r","s/s"
"149","M0942","R/R","s/s"
"150","M0946","r/r","s/s"
"151","M0951","r/r","s/s"
"152","M0958","r/r","s/s"
"153","M0960","r/r","s/s"
"154","M0964","R/r","s/s"
"155","M0966","r/r","s/s"
"156","M0967","r/r","s/s"
"157","M0968","r/r","s/s"
"158","M0969","r/r","s/s"
"159","M0974","r/r","s/s"
"160","M0977","r/r","s/s"
"161","M0978","r/r","s/s"
"162","M0981","r/r","s/s"
"163","M0985","r/r","s/s"
"164","M0988","r/r","s/s"
"165","M0993","R/r","s/s"
"166","M0999","r/r","s/s"
"167","M1000","r/r","s/s"
"168","M1010","r/r","s/s"
"169","M1023","r/r","s/s"
"170","M1031","r/r","s/s"
"171","L0635","r/r","s/s"
"172","M1037","r/r","s/s"
"173","M1045","R/R","S/+"
"174","M1046","r/r","s/s"
"175","M1053","R/R","S/+"
"176","M1055","R/R","S/+"
"177","M1060","R/R","S/+"
"178","M1067","R/R","s/s"
"179","M1073","R/R","S/+"
"180","M1077","R/R","S/+"
"181","M1083","R/r","S/+"
"182","M1085","R/R","S/+"
"183","M1086","R/R","S/+"
"184","M1087","R/R","S/+"
"185","M1089","R/R","S/+"
"186","M1098","R/R","S/+"
"187","M1103","R/R","S/+"
"188","M1107","R/R","S/+"
"189","M1115","R/R","S/+"
"190","M1117","R/R","S/+"
"191","M1120","R/R","S/+"
"192","M1121","R/R","S/+"
"193","M1126","R/R","S/+"
"194","M1128","R/R","S/+"
"195","M1129","R/R","S/+"
"196","M1144","R/R","S/+"
"197","M1155","r/r","s/s"
"198","M1156","R/R","S/+"
"199","M1159","r/r","s/s"
"200","M1160","r/r","s/s"
"201","M1164","r/r","s/s"
"202","M1171","R/R","S/+"
"203","M1177","r/r","s/s"
"204","M1180","R/R","S/+"
"205","M1193","r/r","S/+"
"206","M1200","r/r","s/s"
"207","M1214","R/r","S/+"
"208","M1225","R/r","S/+"
"209","M1251","R/R","S/+"
"210","M1253","R/r","S/+"
"211","M1293","R/R","S/+"
"212","M1299","R/R","S/+"
"213","M1302","r/r","s/s"
"214","M1308","R/r","s/s"
"215","M1334","R/R","S/+"
"216","M1335","r/r","s/s"
"217","M1337","R/R","S/+"
"218","M1338","R/R","S/+"
"219","M1342","R/R","S/+"
"220","L0729","R/R","S/+"
"221","M1347","R/R","S/+"
"222","M1349","R/R","S/+"
"223","M1382",NA,NA
"224","M1385","R/R","s/s"
"225","M1400","R/r","S/+"
"226","M1410","r/r","s/s"
"227","M1420","r/r","s/s"
"228","M1449","r/r","s/s"
"229","M1453","r/r","s/s"
"230","J0420","R/R","S/+"
"231","M1504","r/r","s/s"
"232","M1509","R/R","S/+"
"233","M1515","R/R","S/+"
"234","M1520","r/r","s/s"
"235","M1524","R/R","S/+"
"236","M1548","r/r","s/s"
"237","M1635","R/r","s/s"
"238","M1711","R/R","S/+"
"239","M1804","R/R","S/+"
"240","J1101","R/R","S/+"
"241","M1888","R/R","S/+"
"242","M1893","R/R","S/+"
"243","M1898","R/R","s/s"
"244","M1900","R/r","S/+"
"245","M1902","R/R","S/+"
"246","M1957","R/R","s/s"
"247","M1970","r/r","s/s"
"248","M1976","R/R","S/+"
"249","M1981","r/r","s/s"
"250","L1181","R/r","S/+"
"251","M1997","r/r","S/+"
"252","M2024","R/R","S/+"
"253","M2026","R/r","S/+"
"254","M2028","R/R","S/+"
"255","M2029","R/R","S/+"
"256","M2030","R/R","S/+"
"257","M2033","R/R","S/+"
"258","M2035","R/R","S/+"
"259","M2037","R/R","s/s"
"260","M2047","R/R","S/+"
"261","M3089",NA,NA
"262","M3090",NA,NA
"263","M3091",NA,NA
"264","M3092",NA,NA
"265","M3093",NA,NA
"266","M3094",NA,NA
"267","M3095",NA,NA
"268","M3096",NA,NA
"269","M3097",NA,NA
"270","M3099","R/r","s/s"
"271","M3100",NA,NA
"272","M3101","R/r","s/s"
"273","M3102",NA,NA
"274","M3103","r/r","s/s"
"275","M3104",NA,NA
"276","M3105","r/r","s/s"
"277","M0066",NA,NA
"278","M1811","R/R","S/+"
"279","M1812","R/R","S/+"
"280","M0233","R/R","S/+"
"281","M1844","R/R","S/+"
"282","M1873","R/R","s/s"
"283","M1964","R/R","S/+"
"284","M1966","r/r","s/s"
"285","L0933","R/r","S/+"
"286","M1969",NA,"s/s"
"287","M1971","R/R","S/+"
"288","M1973","R/R","S/+"
"289","M1975","R/R","S/+"
"290","M1979","R/R","S/+"
"291","M1991","R/R","S/+"
"292","M1993","R/R","s/s"
"293","K1200","R/R","S/+"
"294","M2000","R/R","S/+"
"295","M2001","R/R","s/s"
"296","M2002","R/R","s/s"
"297","M2003","R/R","S/+"
"298","M2004","r/r","s/s"
"299","M2005","R/r","S/+"
"300","M2006","R/R","S/+"
"301","M2007","R/r","S/+"
"302","M2008","R/R","S/+"
"303","M1455","R/R","S/+"
"304","M2010","R/R","S/+"
"305","M2012","R/R","S/+"
"306","M2015","R/R","S/+"
"307","M0067","R/R",NA
"308","M2019",NA,NA
"309","M2020","R/r","s/s"
"310","M2021","R/r","S/+"
"311","M2022","R/R","S/+"
"312","M2023","R/R","S/+"
"313","K1085",NA,NA
"314","M2055","R/r","s/s"
"315","M2058","R/R","S/+"
"316","M2059","R/R",NA
"317","M1914","R/R","S/+"
"318","M2062","R/R","S/+"
"319","M2064","R/r","S/+"
"320","M2066",NA,NA
"321","M2069","R/R","S/+"
"322","M2070","r/r","s/s"
"323","M2072","R/R","S/+"
"324","L1593",NA,NA
"325","M2075",NA,NA
"326","M1665","R/r","S/+"
"327","L0009",NA,NA
"328","L0021","R/r","S/+"
"329","K0314","R/r","s/s"
"330","L0039","R/r","S/+"
"331","L0055",NA,NA
"332","L0056",NA,NA
"333","L0057",NA,NA
"334","L0060","R/r",NA
"335","L0064",NA,NA
"336","L0076","R/R","S/+"
"337","L0078",NA,NA
"338","L0079","r/r","s/s"
"339","L0098",NA,NA
"340","K0840","R/r","S/+"
"341","L0105","R/R","S/+"
"342","L0106","R/r","S/+"
"343","K1755","R/R","s/s"
"344","L0112","R/R","S/+"
"345","L0114","r/r","S/+"
"346","L0120","R/R","S/+"
"347","L0124","R/r","S/+"
"348","K0032","R/R","S/+"
"349","K0760",NA,NA
"350","L0137","R/r","S/+"
"351","L0143","R/R","s/s"
"352","L0146","R/R","S/+"
"353","K0023","R/R","S/+"
"354","L0150",NA,NA
"355","L0159",NA,NA
"356","L0168",NA,NA
"357","L0169",NA,NA
"358","L0176",NA,NA
"359","L0188","R/R","s/s"
"360","L0191",NA,NA
"361","L0199","R/R","S/+"
"362","L0214","R/r","S/+"
"363","L0215","r/r","S/+"
"364","L0220","R/R","S/+"
"365","L0221","R/r","S/+"
"366","J0314","r/r","S/+"
"367","K0451",NA,NA
"368","K1762","R/R","s/s"
"369","L0230",NA,NA
"370","L0234","R/r","s/s"
"371","L0243",NA,NA
"372","L0250",NA,NA
"373","L0258","r/r","s/s"
"374","L0260","r/r","S/+"
"375","K2005","r/r","s/s"
"376","L0263",NA,NA
"377","L0284","R/R","S/+"
"378","L0294","R/R","s/s"
"379","L0314","R/r","s/s"
"380","L0320","R/r","S/+"
"381","L0323","r/r","s/s"
"382","L0325","R/r","S/+"
"383","L0326","R/R","s/s"
"384","L0329","r/r","s/s"
"385","J0493","R/r","S/+"
"386","K1847","R/R","S/+"
"387","K1899","R/R","S/+"
"388","L0395","r/r","s/s"
"389","L0401","R/R","S/+"
"390","L0407","r/r","s/s"
"391","L0412","R/R","S/+"
"392","L0413","R/R","S/+"
"393","L0414","R/r","s/s"
"394","L0435","R/r","s/s"
"395","L0460","r/r","s/s"
"396","L0461","r/r","S/+"
