"PlantID_final","Easting","Northing","Altitude"
"M0821",1492.05480263074,-409.236371299252,1156.59
"M0843",1608.52584844071,-505.383475429378,1172.86
"M1003",-1492.65463655128,86.0986295407638,1215.93
"M1011",-1441.01774911029,93.0725001003593,1213.93
"M1014",-1765.5955208143,-4.47567961923778,1231.58
"M1530",996.211703105713,77.3332295808941,1282.57
"M0158",-1437.49490894825,95.1944533102214,1209.57
"M0170",-1412.50253801228,96.1887420807034,1216.12
"M0172",-1160.9482773153,-44.1346175391227,1192.73
"M0174",-1344.4468393593,60.9953554105014,1208.31
"M0178",-1137.57365448331,-56.238698258996,1194.44
"M0183",-1395.40833952528,91.3450525105,1211.34
"M0187",-1138.35402244126,-58.8619627198204,1193.3
"M0190",-1447.34924300428,90.0089123807847,1212.03
"M0195",-1434.32288503728,84.2419072501361,1211.65
"M0294",-2060.5000517703,-13.5693802190945,1301.61
"M0301",1041.21251100674,-337.043272209354,1147.61
"M0303",1059.59999860573,-371.653779769316,1148.56
"M0305",931.866444184736,-237.898147099651,1137.97
"M0307",909.780506092706,-240.263562149368,1140.43
"M0308",905.687756983738,-245.930795959197,1139.87
"M0311",1066.65105056571,-377.341912159696,1150.34
"M0313",1173.73616114969,-380.981579999439,1150.62
"M0315",1157.70020683471,-373.076178849675,1150.22
"M0316",1152.96523322474,-373.577319259755,1150.68
"M0324",974.082088001713,-289.452525109053,1138.08
"M0326",1075.86754629074,-381.719580979086,1149.36
"M0349",983.545912002737,-293.996221049689,1139.38
"M0353",-2001.5813686183,-134.272489699535,1245.24
"M0355",-1577.49744817428,5.46352895069867,1224.62
"M0356",-1760.36203095625,-17.3913999097422,1228.41
"M0357",-1661.95818565029,17.6843668203801,1229.19
"M0359",-1726.73050773627,9.31809477042407,1231.74
"M0362",-1652.23693542526,15.3052311707288,1228.8
"M0366",-1756.72026013327,-16.3470070092008,1228.07
"M0368",-1743.27156864526,-9.62167979963124,1228.3
"M0370",-1752.97326294729,-14.7851790292189,1226.94
"M0374",-1751.38940309029,-13.1925911195576,1227.4
"M0375",-1909.97524568927,-77.7680647689849,1239.66
"M0377",-1833.91253131931,-44.639634209685,1233.92
"M0378",-1652.12048858526,16.380013730377,1228.57
"M0380",-1716.33866827429,10.452810450457,1229.48
"M0386",-1653.35274901526,14.3603905504569,1231.79
"M0389",-1982.42974412226,-117.989922679029,1242.37
"M0396",-1827.85552762827,-40.9892032993957,1233.93
"M0397",-1838.8269146083,-45.7863992694765,1234.92
"M0398",-1825.98715714127,-42.0627930993214,1233.01
"L1295",-1829.94485787931,-42.6749732792377,1234.33
"M0438",1431.59750961873,-408.819484529085,1161.52
"M0450",1421.42482276773,-414.445371599868,1159.55
"M0454",1325.12448116671,-450.598314309493,1153.97
"M0490",1288.31923984474,-444.006793439388,1154.54
"M0501",1339.15834508871,-449.672379009426,1156.09
"M0506",-1937.39567452529,463.794876620173,1486.01
"M0507",1768.70038979873,-127.850897099823,1242.62
"M0519",-2067.7910459963,-193.466281479225,1251.16
"M0522",-2063.07736038929,-217.1549805291,1252.98
"M0524",-2064.09321443929,-215.7776994491,1254.12
"M0531",1836.85490964173,-487.483593429439,1219.67
"M0533",1834.77789975569,-484.594239549711,1221.17
"M0538",1376.17252735671,-158.482002239674,1257.65
"M0542",1795.65327382571,-443.933135678992,1221.08
"M0543",1769.4759465247,-130.946309679188,1238.49
"M0549",1444.86325476569,-410.289346819744,1162.96
"M0550",-2026.9575557973,-139.297095729038,1250.55
"M0551",1545.43661083269,-87.8280336195603,1253.96
"M0553",1564.7365516217,-97.5408251294866,1250.72
"M0554",1346.95452748571,-145.895261479542,1262.03
"M0558",1553.70033993374,-91.8861971898004,1252.49
"M0559",1500.79511250171,-122.262150729075,1253.76
"M0560",1505.09912928473,-106.847832429223,1254.71
"M0561",1733.38329792069,-132.756647969596,1242.07
"M0562",1336.68400684372,-140.767080209218,1263.79
"M0563",1581.7667450977,-109.89120673947,1249.9
"M0565",1402.9187228817,-170.001668129116,1256.79
"M0566",1565.68918885669,-98.8358240295202,1251.05
"M0567",1529.58733296773,-86.9515436990187,1254.26
"M0569",1358.6816546027,-151.448777358979,1260.01
"M0570",1574.57527518872,-104.075499819592,1249.95
"M0571",1603.56816119869,-135.231850408949,1250.21
"M0572",-2038.18169746129,-2.85380635969341,1303.68
"M0573",1545.34367998573,-89.0463616494089,1255.16
"M0574",1508.61996017169,-97.0142554594204,1249.4
"M0576",1740.94335766771,-132.570577329025,1242.9
"M0577",1620.94217769575,-142.615240129642,1248.98
"M0578",-2022.4511263803,4.58396642096341,1306.09
"M0581",1498.29339205869,-130.094392699189,1254.66
"M0582",1418.11144022673,-168.962488749065,1257.86
"M0585",1662.78354797373,-140.720129609108,1247.96
"M0586",1613.29349681071,-142.060650169849,1251.38
"M0587",1668.46062210569,-139.662333289161,1247.04
"M0588",1631.00474757771,-140.604769679718,1248.26
"M0590",1685.98819957074,-136.276546209119,1250.28
"M0594",-2008.00399728026,12.8601117609069,1308.16
"M0595",1756.17405650474,-129.542184349149,1237.57
"M0599",1763.47541507869,-129.885262269527,1239.96
"M0600",1686.47686792671,-138.040766979568,1248.99
"M0629",1388.44310519774,-165.999074979685,1260.76
"M0651",1711.91447374469,-546.866500839591,1181.07
"M0655",1701.9825996877,-545.434861158952,1180.22
"M0659",1713.35313214373,-547.62361995969,1180.23
"M0665",1708.94287509273,-544.330717949197,1184.06
"M0671",1659.5033655747,-540.443980889395,1181.48
"M0676",1460.8972669327,-177.954824189655,1253.53
"M0677",1703.79546783969,-544.459159389138,1182.56
"M0678",1668.95594267471,-545.364178559743,1176.36
"M0679",1894.79491315474,-516.759622529149,1216.79
"M0680",1656.15716278472,-540.878077749163,1175.65
"M0691",1703.88399125874,-546.083637929522,1186.66
"M0696",1731.4276071607,-557.518313899636,1181.33
"M0697",1711.96637852973,-547.340121959336,1181.01
"M0709",1059.83975815773,127.118275330402,1277.39
"M0736",897.006188839732,-242.802404619753,1128.19
"M0802",-2053.1909929653,396.331973060966,1496.41
"M0812",1630.50831337669,-521.796465909109,1178.12
"M0825",-2026.9954294893,-139.471021639183,1251.32
"L1321",-2063.49968737428,-208.553839859553,1253.39
"M0834",1608.08136739273,-355.042758859694,1161.71
"M0823",1486.9480108447,-402.473378029652,1160.65
"M0862",-1228.24656005029,311.776039220393,1390.53
"M0864",-1336.51441076526,343.915753600188,1381.51
"M0869",-1385.36643199227,341.493325630203,1376.2
"M0872",-1619.0190909573,244.513525820337,1352.2
"M0874",-1399.0406508313,341.459505670704,1376.3
"M0882",-1635.63000514428,211.973945970647,1349.14
"M0887",-1557.72176528326,328.702352130786,1358.72
"M0889",-1380.0850974723,344.212136230431,1377.42
"M0891",-1130.71178819129,291.818904950283,1399.26
"M0896",-1486.50703041931,354.673357840627,1367.72
"M0901",-1245.66149564431,411.372083410621,1447.9
"M0903",-2062.17048548028,-13.8849614094943,1301.18
"M0906",-1487.89059309027,485.472743050195,1469.03
"M0907",-1138.15982096829,384.854700220749,1447.19
"M0908",-1518.08461346431,498.546649490483,1464.81
"M0909",-1108.6723892673,391.775976200588,1445.56
"M0912",-1510.38190581527,483.782454370521,1459.23
"M0914",-1626.0202020483,451.551602371037,1466.37
"M0915",-1482.87442557228,490.497604350559,1463.66
"M0916",-1380.2663094583,472.721586210653,1452.95
"M0918",-1405.0119107663,485.251521070488,1465.51
"M0919",-1595.47978577326,484.593731500208,1466.74
"M0923",-1542.93452807429,502.890491810627,1467.04
"M0928",-2059.59314385231,-13.6328264698386,1300.26
"M0929",-1577.38502456731,481.541903160512,1464.21
"M0934",-1945.48330013629,90.8831432005391,1314.45
"M0937",-1604.6481408843,472.131430810317,1472.74
"M0940",-1557.37083753425,500.362379640341,1467.44
"M0941",-1919.6271033113,123.410980951041,1320.15
"M0942",898.251306279737,-242.485986059532,1134.46
"M0946",-1980.24167409126,30.8143769102171,1310.04
"M0951",-1724.45035430125,404.736608770676,1472.57
"M0958",-1969.0830110333,-113.156180369668,1238.52
"M0960",-1133.32367175329,-58.8653599796817,1192.17
"M0964",-628.511218325293,-95.7651330791414,1185.63
"M0966",-1550.79072529729,35.7733334107324,1221.99
"M0967",-555.484675076266,-86.3110213791952,1185.09
"M0968",-1410.2137152513,95.1006056908518,1215.77
"M0969",-1720.6142739213,-3.68293869961053,1224.66
"M0974",-1736.3521361833,414.229608900845,1474.55
"M0977",-1798.84285168926,476.007039110176,1479.19
"M0978",-1754.41501663427,430.567568410188,1473.13
"M0981",-1901.83481641125,494.962856480852,1482.11
"M0985",-1712.38480436028,404.997588800266,1472.92
"M0988",-614.280737528286,-108.039119169116,1183.38
"M0993",-599.743721600273,-97.3568646190688,1184.34
"M0999",-573.6358886573,-104.853807959706,1188.12
"M1000",-628.38729060028,-96.2240194194019,1190.42
"M1010",-1475.6594004223,353.678963610902,1367.65
"M1023",-1397.66017761227,93.1901367502287,1212.06
"M1031",-1746.3274802193,158.176212940365,1338.73
"L0635",-1236.58462115529,-9.35891022905707,1198.19
"M1037",-2102.52515197627,403.980010540225,1505.58
"M1045",1098.3186223667,85.2171429507434,1276.99
"M1046",-2063.3938052273,-218.186432279646,1252.41
"M1053",1219.07982701174,-76.6562913591042,1265.91
"M1055",1216.65360365569,-72.3082565292716,1267.1
"M1060",1096.96480481472,105.269414911047,1278.8
"M1067",1219.46676797769,-78.1129617290571,1265.87
"M1073",1097.00565372373,107.61655939091,1276.91
"M1077",1096.51128187269,102.308154970407,1280.38
"M1083",317.080220110714,193.320468940772,1319.13
"M1085",1218.76288715971,-75.8189153894782,1269.59
"M1086",1217.73495157674,-73.9744775593281,1270.79
"M1087",1098.77021007973,85.6487199701369,1278.61
"M1089",1056.54887469171,124.781601250172,1279.22
"M1098",1095.81801365071,103.85029781051,1274.91
"M1103",1099.69087920472,42.4817394101992,1273.6
"M1107",1218.9951348147,-71.0018662493676,1272.37
"M1115",1220.13026578474,-75.0240179095417,1269.17
"M1117",1224.03448791773,-79.3512412598357,1269.83
"M1120",1182.43223853171,-46.2035838989541,1274.28
"M1121",1134.57734484173,-16.5144119895995,1270.51
"M1126",1103.48683821369,62.9007270308211,1270.81
"M1128",1100.24591229472,43.199824070558,1272.73
"M1129",1100.55433561374,56.3969468604773,1272.48
"M1144",1111.74619997473,-16.9968288894743,1267.17
"M1155",-1692.73485253629,167.787207180634,1343.26
"M1156",1713.1362238797,-547.453627419658,1179.64
"M1159",-1679.13149994129,170.965088310651,1346.17
"M1160",-1865.87845116126,150.637078980915,1325.17
"M1164",-1756.1743391683,156.982171180658,1339.74
"M1171",1660.77613886574,-542.019996329211,1178.7
"M1177",-1974.41124333628,39.9331184504554,1314.58
"M1180",1688.03834109771,-548.003783819266,1180.23
"M1193",-1943.18026214826,96.8896880010143,1319.11
"M1200",-1926.07131926029,117.671651930548,1318.48
"M1214",316.006945693691,193.41317462083,1311.63
"M1225",316.573281257704,193.662446990609,1315.39
"M1251",314.505818159727,196.110192720778,1320.8
"M1253",317.916227315727,192.700629700907,1316.22
"M1293",317.778445084696,191.552760100923,1310.69
"M1299",320.706107634702,188.778085220605,1313.95
"M1302",-573.440154132259,-103.943124908954,1189.49
"M1308",-540.697138035262,-71.1594147896394,1182.56
"M1334",866.588884572731,63.7714086109772,1287.6
"M1335",-574.979218304274,-106.012868249789,1187.76
"M1337",907.607611237734,74.9978854404762,1286.18
"M1338",795.834437495738,51.2530986405909,1295.38
"M1342",810.817474698706,45.3215298205614,1290.29
"L0729",759.478631709702,64.1735603008419,1291.79
"M1347",687.394408644701,85.0965702105314,1306.54
"M1349",691.903893802722,88.9257553303614,1304.18
"M1382",1167.52968563774,-376.856191199273,1152.4
"M1385",1167.89965316874,-376.314906109124,1151.98
"M1400",1173.55041815771,-381.795800479129,1153.98
"M1410",-167.651983067277,557.337254100479,1378.52
"M1420",-1097.9542484713,-59.1139843696728,1193.29
"M1449",-1399.11273752828,94.3178575802594,1216.36
"M1453",-1407.22261825728,95.6493362905458,1216.8
"J0420",584.069517807744,76.0579972006381,1307.76
"M1504",-1403.68588289426,96.4840793302283,1220.84
"M1509",978.560333533736,61.6984236901626,1279.2
"M1515",1010.03051521874,83.9665106507018,1279.81
"M1520",-1655.59025565727,16.2753607202321,1231.16
"M1524",562.518218131736,70.5896360008046,1304.42
"M1548",58.8014777126955,586.319563470781,1363.22
"M1635",-1857.18197679031,-54.0326285194606,1237.09
"M1711",631.987257619738,64.8207421610132,1302.28
"M1804",-1541.13312058325,36.4544955808669,1210.14
"J1101",729.979659222707,96.0863397503272,1297.94
"M1888",676.962036742712,82.2863367302343,1301.05
"M1893",691.231493811705,90.9352333405986,1293.56
