"id","flower_colour","rosea","sulfurea"
"M0821","FR","R/R","S/+"
"M0843","FR","R/R","S/+"
"M1003","Ye","r/r","s/s"
"M1011","Ye","r/r","s/s"
"M1014","Ye","r/r","s/s"
"M1530","FR","R/R","S/+"
"M0158","Ye","r/r","s/s"
"M0170","Ye","r/r","s/s"
"M0172","Ye","r/r","s/s"
"M0174","Ye","r/r","s/s"
"M0178","Ye","r/r","s/s"
"M0183","Ye","r/r","s/s"
"M0187","Ye","r/r","s/s"
"M0190","Ye","r/r","s/s"
"M0195","Ye","r/r","s/s"
"M0294","Ye","r/r","s/s"
"M0301","FR","R/R","S/+"
"M0303","FR","R/R","S/+"
"M0305","FR","R/R","S/+"
"M0307","FR","R/R","S/+"
"M0308","FR","R/R","S/+"
"M0311","FR","R/R","S/+"
"M0313","FR","R/R","S/+"
"M0315","FR","R/R","S/+"
"M0316","WR","R/r","S/+"
"M0324","FR","R/R","S/+"
"M0326","FR","R/R","S/+"
"M0349","FR","R/R","S/+"
"M0353","Ye","r/r","s/s"
"M0355","Ye","r/r","s/s"
"M0356","Ye","r/r","s/s"
"M0357","Ye","r/r","s/s"
"M0359","Ye","r/r","s/s"
"M0362","Ye","r/r","s/s"
"M0366","Ye","r/r","s/s"
"M0368","Ye","r/r","s/s"
"M0370","Ye","r/r","s/s"
"M0374","Ye","r/r","s/s"
"M0375","Ye","r/r","s/s"
"M0377","Ye","r/r","s/s"
"M0378","Ye","r/r","s/s"
"M0380","Ye","r/r","s/s"
"M0386","Ye","r/r","s/s"
"M0389","FO","R/R","s/s"
"M0396","WO","R/r","s/s"
"M0397","Ye","r/r","s/s"
"M0398","Wh","r/r","S/+"
"L1295","Ye","r/r","s/s"
"M0438","FR","R/R","S/+"
"M0450","FR","R/R","S/+"
"M0454","FR","R/R","S/+"
"M0490","FR","R/R","S/+"
"M0501","FR","R/R","S/+"
"M0506","Ye","r/r","s/s"
"M0507","FR","R/R","S/+"
"M0519","Ye","r/r","s/s"
"M0522","Ye","r/r","s/s"
"M0524","Ye","r/r","s/s"
"M0531","FR","R/R","S/+"
"M0533","FR","R/R","S/+"
"M0538","FR","R/R","S/+"
"M0542","FR","R/R","S/+"
"M0543","FR","R/R","S/+"
"M0549","FR","R/R","S/+"
"M0550","Ye","r/r","s/s"
"M0551","FR","R/R","S/+"
"M0553","FR","R/R","S/+"
"M0554","FR","R/R","S/+"
"M0558","FR","R/R","S/+"
"M0559","FR","R/R","S/+"
"M0560","FR","R/R","S/+"
"M0561","FR","R/R","S/+"
"M0562","FR","R/R","S/+"
"M0563","FR","R/R","S/+"
"M0565","FR","R/R","S/+"
"M0566","FR","R/R","S/+"
"M0567","FR","R/R","S/+"
"M0569","FR","R/R","S/+"
"M0570","FR","R/R","S/+"
"M0571","FR","R/R","S/+"
"M0572","Ye","r/r","s/s"
"M0573","FR","R/R","S/+"
"M0574","FR","R/R","S/+"
